# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
8.899641e-03 3.427620e+04 3.646514e+04 3.167307e+04 3.400609e+04
1.507912e-02 5.339566e+04 5.117970e+04 5.079253e+04 4.872064e+04
2.144790e-02 6.256587e+04 6.082896e+04 5.996274e+04 5.836990e+04
2.783661e-02 4.117827e+04 3.997235e+04 3.857514e+04 3.751329e+04
3.435100e-02 3.760848e+04 3.621243e+04 3.500535e+04 3.375338e+04
4.047887e-02 3.130267e+04 3.034810e+04 2.869954e+04 2.788905e+04
4.676717e-02 3.004789e+04 2.909299e+04 2.744476e+04 2.663393e+04
5.308225e-02 2.560350e+04 2.507177e+04 2.300037e+04 2.261271e+04
5.945362e-02 2.571913e+04 2.464512e+04 2.311600e+04 2.218606e+04
6.576225e-02 2.251558e+04 2.198255e+04 1.991245e+04 1.952349e+04
7.196633e-02 2.118598e+04 2.038498e+04 1.858285e+04 1.792593e+04
7.827861e-02 2.180856e+04 2.115153e+04 1.920543e+04 1.869247e+04
8.470399e-02 1.804414e+04 1.753453e+04 1.544101e+04 1.507547e+04
9.096855e-02 1.596840e+04 1.555057e+04 1.336527e+04 1.309152e+04
9.720790e-02 1.477435e+04 1.419066e+04 1.217122e+04 1.173160e+04
1.034763e-01 1.404677e+04 1.357891e+04 1.144364e+04 1.111985e+04
1.097576e-01 1.234826e+04 1.205444e+04 9.745127e+03 9.595379e+03
1.160543e-01 1.194853e+04 1.133563e+04 9.345397e+03 8.876577e+03
1.223670e-01 1.082544e+04 1.052370e+04 8.222310e+03 8.064641e+03
1.286817e-01 1.108482e+04 1.065348e+04 8.481693e+03 8.194420e+03
1.349501e-01 1.027744e+04 9.956044e+03 7.674308e+03 7.496987e+03
1.411950e-01 9.741195e+03 9.349178e+03 7.138066e+03 6.890121e+03
1.475134e-01 9.441378e+03 9.125077e+03 6.838249e+03 6.666020e+03
1.537865e-01 9.001968e+03 8.656170e+03 6.398839e+03 6.197113e+03
1.600658e-01 8.499029e+03 8.157951e+03 5.895900e+03 5.698894e+03
1.663991e-01 8.042122e+03 7.708962e+03 5.438992e+03 5.249905e+03
1.727196e-01 7.964817e+03 7.595449e+03 5.361687e+03 5.136392e+03
1.789765e-01 7.430944e+03 7.148623e+03 4.827815e+03 4.689566e+03
1.852354e-01 7.379187e+03 7.124543e+03 4.776058e+03 4.665487e+03
1.914807e-01 7.166151e+03 6.850403e+03 4.563022e+03 4.391346e+03
1.977890e-01 6.987715e+03 6.689747e+03 4.384585e+03 4.230690e+03
2.040938e-01 6.698515e+03 6.451532e+03 4.095385e+03 3.992475e+03
2.103939e-01 6.580381e+03 6.293185e+03 3.977251e+03 3.834129e+03
2.166910e-01 6.430550e+03 6.148165e+03 3.827421e+03 3.689108e+03
2.229700e-01 6.184047e+03 5.922858e+03 3.580917e+03 3.463801e+03
2.292620e-01 5.905183e+03 5.676620e+03 3.302053e+03 3.217563e+03
2.355142e-01 5.842530e+03 5.599627e+03 3.239400e+03 3.140571e+03
2.417911e-01 5.637501e+03 5.345560e+03 3.034371e+03 2.886503e+03
2.480857e-01 5.536759e+03 5.306295e+03 2.933629e+03 2.847239e+03
2.543492e-01 5.431233e+03 5.146731e+03 2.828104e+03 2.687675e+03
2.606334e-01 5.277722e+03 5.071264e+03 2.674593e+03 2.612208e+03
2.669257e-01 5.193311e+03 4.960966e+03 2.590181e+03 2.501910e+03
2.732423e-01 5.078790e+03 4.809298e+03 2.475660e+03 2.350242e+03
2.795530e-01 5.025095e+03 4.798295e+03 2.421965e+03 2.339239e+03
2.858366e-01 4.889966e+03 4.685258e+03 2.286837e+03 2.226201e+03
2.920876e-01 4.953117e+03 4.703010e+03 2.349988e+03 2.243954e+03
2.983450e-01 4.778891e+03 4.531176e+03 2.175762e+03 2.072120e+03
3.046383e-01 4.730959e+03 4.482290e+03 2.127829e+03 2.023233e+03
3.109279e-01 4.586180e+03 4.368240e+03 1.983050e+03 1.909183e+03
3.172168e-01 4.607270e+03 4.363167e+03 2.004141e+03 1.904111e+03
3.235188e-01 4.460295e+03 4.264459e+03 1.857165e+03 1.805402e+03
3.298168e-01 4.419400e+03 4.214607e+03 1.816271e+03 1.755551e+03
3.361176e-01 4.372285e+03 4.147754e+03 1.769155e+03 1.688697e+03
3.423700e-01 4.298455e+03 4.105543e+03 1.695326e+03 1.646486e+03
3.486478e-01 4.194222e+03 4.017212e+03 1.591093e+03 1.558156e+03
3.549412e-01 4.205680e+03 4.008016e+03 1.602551e+03 1.548959e+03
3.611917e-01 4.173716e+03 3.974252e+03 1.570586e+03 1.515196e+03
3.674767e-01 4.061950e+03 3.872775e+03 1.458820e+03 1.413719e+03
3.737648e-01 4.041983e+03 3.842159e+03 1.438853e+03 1.383103e+03
3.800654e-01 3.976552e+03 3.750782e+03 1.373423e+03 1.291725e+03
3.863540e-01 3.967811e+03 3.773545e+03 1.364681e+03 1.314489e+03
3.926140e-01 3.859669e+03 3.665949e+03 1.256540e+03 1.206892e+03
3.989265e-01 3.860221e+03 3.648528e+03 1.257091e+03 1.189471e+03
4.052073e-01 3.836048e+03 3.618562e+03 1.232918e+03 1.159505e+03
4.114916e-01 3.752059e+03 3.592585e+03 1.148930e+03 1.133528e+03
4.177814e-01 3.770171e+03 3.575846e+03 1.167041e+03 1.116790e+03
4.240401e-01 3.706091e+03 3.526344e+03 1.102961e+03 1.067288e+03
4.303426e-01 3.692800e+03 3.501015e+03 1.089670e+03 1.041958e+03
4.366359e-01 3.704577e+03 3.504488e+03 1.101447e+03 1.045431e+03
4.428996e-01 3.656369e+03 3.467519e+03 1.053239e+03 1.008463e+03
4.491634e-01 3.636179e+03 3.440182e+03 1.033050e+03 9.811258e+02
4.554414e-01 3.597451e+03 3.410407e+03 9.943213e+02 9.513506e+02
4.617634e-01 3.563779e+03 3.373632e+03 9.606500e+02 9.145751e+02
4.680644e-01 3.533096e+03 3.365262e+03 9.299664e+02 9.062058e+02
4.743485e-01 3.492357e+03 3.315952e+03 8.892271e+02 8.568951e+02
4.806356e-01 3.452059e+03 3.279345e+03 8.489291e+02 8.202887e+02
4.869019e-01 3.454937e+03 3.277494e+03 8.518072e+02 8.184370e+02
4.931697e-01 3.414776e+03 3.250647e+03 8.116466e+02 7.915903e+02
4.994507e-01 3.412737e+03 3.241705e+03 8.096074e+02 7.826484e+02
5.057159e-01 3.394363e+03 3.207183e+03 7.912334e+02 7.481260e+02
5.119924e-01 3.342444e+03 3.163645e+03 7.393149e+02 7.045888e+02
5.183126e-01 3.358151e+03 3.192986e+03 7.550216e+02 7.339295e+02
5.246090e-01 3.303956e+03 3.142068e+03 7.008263e+02 6.830110e+02
5.308757e-01 3.346097e+03 3.180335e+03 7.429671e+02 7.212786e+02
5.371574e-01 3.300916e+03 3.130065e+03 6.977868e+02 6.710088e+02
5.434580e-01 3.283977e+03 3.107625e+03 6.808479e+02 6.485683e+02
5.497431e-01 3.236202e+03 3.073464e+03 6.330724e+02 6.144074e+02
5.559937e-01 3.246498e+03 3.074769e+03 6.433683e+02 6.157127e+02
5.622855e-01 3.207521e+03 3.044054e+03 6.043915e+02 5.849973e+02
5.686012e-01 3.213292e+03 3.033538e+03 6.101621e+02 5.744817e+02
5.748805e-01 3.199709e+03 3.033197e+03 5.965794e+02 5.741398e+02
5.811550e-01 3.178456e+03 3.011051e+03 5.753269e+02 5.519944e+02
5.874394e-01 3.129610e+03 2.966053e+03 5.264804e+02 5.069959e+02
5.937176e-01 3.135770e+03 2.973132e+03 5.326403e+02 5.140756e+02
5.999972e-01 3.126652e+03 2.965675e+03 5.235230e+02 5.066179e+02
6.062679e-01 3.120417e+03 2.954276e+03 5.172873e+02 4.952189e+02
6.125470e-01 3.115568e+03 2.941399e+03 5.124389e+02 4.823423e+02
6.188478e-01 3.076961e+03 2.924430e+03 4.738312e+02 4.653731e+02
6.251311e-01 3.076402e+03 2.918100e+03 4.732721e+02 4.590437e+02
6.314027e-01 3.079324e+03 2.925124e+03 4.761946e+02 4.660673e+02
6.377004e-01 3.061986e+03 2.908731e+03 4.588561e+02 4.496746e+02
6.439858e-01 3.060144e+03 2.893929e+03 4.570149e+02 4.348721e+02
6.502685e-01 3.015819e+03 2.839865e+03 4.126896e+02 3.808080e+02
6.565586e-01 3.008601e+03 2.849895e+03 4.054714e+02 3.908378e+02
6.628369e-01 3.035498e+03 2.868831e+03 4.323690e+02 4.097742e+02
6.691185e-01 2.991637e+03 2.828944e+03 3.885073e+02 3.698870e+02
6.754070e-01 2.987754e+03 2.835683e+03 3.846246e+02 3.766265e+02
6.816836e-01 2.973179e+03 2.803572e+03 3.700497e+02 3.445150e+02
6.879593e-01 2.968680e+03 2.808149e+03 3.655506e+02 3.490920e+02
6.942344e-01 2.975491e+03 2.818291e+03 3.723612e+02 3.592343e+02
7.005175e-01 2.953811e+03 2.799670e+03 3.506811e+02 3.406131e+02
7.068125e-01 2.951252e+03 2.794007e+03 3.481222e+02 3.349499e+02
7.131019e-01 2.944258e+03 2.795669e+03 3.411285e+02 3.366123e+02
7.193918e-01 2.923239e+03 2.772324e+03 3.201100e+02 3.132672e+02
7.256834e-01 2.924091e+03 2.757837e+03 3.209620e+02 2.987805e+02
7.319653e-01 2.921697e+03 2.755002e+03 3.185674e+02 2.959457e+02
7.382508e-01 2.895919e+03 2.737626e+03 2.927899e+02 2.785696e+02
7.445266e-01 2.889657e+03 2.727445e+03 2.865272e+02 2.683881e+02
7.507871e-01 2.881842e+03 2.737215e+03 2.787121e+02 2.781578e+02
7.570758e-01 2.892900e+03 2.743266e+03 2.897706e+02 2.842089e+02
7.633641e-01 2.861802e+03 2.706135e+03 2.586722e+02 2.470781e+02
7.696463e-01 2.871502e+03 2.721640e+03 2.683728e+02 2.625830e+02
