# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
8.899641e-03 3.429222e+04 3.646514e+04 3.181694e+04 3.400609e+04
1.507912e-02 5.090274e+04 5.117970e+04 4.842747e+04 4.872064e+04
2.144790e-02 6.111597e+04 6.082896e+04 5.864069e+04 5.836990e+04
2.783661e-02 4.005799e+04 3.997235e+04 3.758272e+04 3.751329e+04
3.435100e-02 3.688610e+04 3.621243e+04 3.441083e+04 3.375338e+04
4.047887e-02 3.041815e+04 3.034810e+04 2.794287e+04 2.788905e+04
4.676717e-02 2.948839e+04 2.909299e+04 2.701311e+04 2.663393e+04
5.308225e-02 2.489190e+04 2.507177e+04 2.241662e+04 2.261271e+04
5.945362e-02 2.507806e+04 2.464512e+04 2.260279e+04 2.218606e+04
6.576225e-02 2.225499e+04 2.198255e+04 1.977971e+04 1.952349e+04
7.196633e-02 2.069391e+04 2.038498e+04 1.821863e+04 1.792593e+04
7.827861e-02 2.123798e+04 2.115153e+04 1.876270e+04 1.869247e+04
8.470399e-02 1.759623e+04 1.753453e+04 1.512095e+04 1.507547e+04
9.096855e-02 1.554707e+04 1.555057e+04 1.307179e+04 1.309152e+04
9.720790e-02 1.442450e+04 1.419066e+04 1.194922e+04 1.173160e+04
1.034763e-01 1.373878e+04 1.357891e+04 1.126350e+04 1.111985e+04
1.097576e-01 1.203221e+04 1.205444e+04 9.556932e+03 9.595379e+03
1.160543e-01 1.165947e+04 1.133563e+04 9.184192e+03 8.876577e+03
1.223670e-01 1.058590e+04 1.052370e+04 8.110623e+03 8.064641e+03
1.286817e-01 1.078742e+04 1.065348e+04 8.312139e+03 8.194420e+03
1.349501e-01 1.004741e+04 9.956044e+03 7.572128e+03 7.496987e+03
1.411950e-01 9.525881e+03 9.349178e+03 7.050603e+03 6.890121e+03
1.475134e-01 9.204280e+03 9.125077e+03 6.729002e+03 6.666020e+03
1.537865e-01 8.748398e+03 8.656170e+03 6.273120e+03 6.197113e+03
1.600658e-01 8.283242e+03 8.157951e+03 5.807963e+03 5.698894e+03
1.663991e-01 7.834881e+03 7.708962e+03 5.359602e+03 5.249905e+03
1.727196e-01 7.705184e+03 7.595449e+03 5.229906e+03 5.136392e+03
1.789765e-01 7.215471e+03 7.148623e+03 4.740193e+03 4.689566e+03
1.852354e-01 7.162890e+03 7.124543e+03 4.687612e+03 4.665487e+03
1.914807e-01 6.957651e+03 6.850403e+03 4.482373e+03 4.391346e+03
1.977890e-01 6.760642e+03 6.689747e+03 4.285363e+03 4.230690e+03
2.040938e-01 6.510495e+03 6.451532e+03 4.035217e+03 3.992475e+03
2.103939e-01 6.350507e+03 6.293185e+03 3.875229e+03 3.834129e+03
2.166910e-01 6.225912e+03 6.148165e+03 3.750634e+03 3.689108e+03
2.229700e-01 5.994359e+03 5.922858e+03 3.519080e+03 3.463801e+03
2.292620e-01 5.745957e+03 5.676620e+03 3.270679e+03 3.217563e+03
2.355142e-01 5.684934e+03 5.599627e+03 3.209656e+03 3.140571e+03
2.417911e-01 5.442891e+03 5.345560e+03 2.967613e+03 2.886503e+03
2.480857e-01 5.361581e+03 5.306295e+03 2.886303e+03 2.847239e+03
2.543492e-01 5.256794e+03 5.146731e+03 2.781516e+03 2.687675e+03
2.606334e-01 5.110399e+03 5.071264e+03 2.635121e+03 2.612208e+03
