# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.00628319 2724.03 6 2724.03
0.00888577 15081.2 12 15081.2
0.0108828 33482.6 8 33482.6
0.0125664 13904 6 13904
0.0140496 22080.2 24 22080.2
0.0153906 22010.7 24 22010.7
0.0177715 23569.6 12 23569.6
0.0188496 36811.9 30 36811.9
0.0198692 23750.5 24 23750.5
0.020839 22939.3 24 22939.3
0.0217656 27283.8 8 27283.8
0.0226543 25748.2 24 25748.2
0.0235095 31018.2 48 31018.2
0.0251327 12448.5 6 12448.5
0.0259062 17436.2 48 17436.2
0.0266573 17422.6 36 17422.6
0.0273878 17513.6 24 17513.6
0.0280993 18102.1 24 18102.1
0.0287932 19313.8 48 19313.8
0.0294708 19484.7 24 19484.7
0.0307812 22412.5 24 22412.5
0.0314159 22301.3 30 22301.3
0.0320381 12700 72 12700
0.0326484 18329.8 32 18329.8
0.033836 16671.1 72 16671.1
0.0344144 17558.2 48 17558.2
0.0355431 21951.7 12 21951.7
0.0360942 16311.5 48 16311.5
0.036637 12636.8 48 12636.8
0.0371718 17492.8 48 17492.8
0.0376991 18683.1 30 18683.1
0.0382191 8946.96 24 8946.96
0.0387322 15471.1 72 15471.1
0.0397384 17112.9 24 17112.9
0.040232 12780.7 96 12780.7
0.0407197 16266.1 48 16266.1
0.0412016 16039.6 24 16039.6
0.0416779 11955.3 24 11955.3
0.0421489 12096.7 72 12096.7
0.0426146 14691.1 48 14691.1
0.0435312 4137.47 8 4137.47
0.0439823 10509.3 54 10509.3
0.0444288 14372.8 84 14372.8
0.0448709 11018.9 48 11018.9
0.0453087 12931.3 24 12931.3
0.0457423 16818.1 72 16818.1
0.0461718 14993.9 96 14993.9
0.0470191 14652.2 48 14652.2
0.047437 12751.9 48 12751.9
0.0478513 11562.6 24 11562.6
0.0482621 8261.5 72 8261.5
0.0490732 14976.8 72 14976.8
0.0494739 14335 96 14335
0.0502655 15075.7 6 15075.7
0.0506567 15333.3 96 15333.3
0.0510448 10146.5 96 10146.5
0.0514301 13291.5 24 13291.5
0.0518125 9882.63 48 9882.63
0.0521921 11423.5 96 11423.5
0.0525689 10351.9 48 10351.9
0.0533146 8705.38 36 8705.38
0.0536836 8055.38 48 8055.38
0.05405 12361.9 120 12361.9
0.054414 11643.3 56 11643.3
0.0547755 6283.66 24 6283.66
0.0551347 8702.41 96 8702.41
0.0554916 15786.4 48 15786.4
0.0561985 11527.4 24 11527.4
0.0565487 13879.2 102 13879.2
0.0568967 10790.4 48 10790.4
0.0572425 9473.09 72 9473.09
0.0575863 8460.58 48 8460.58
0.0579281 7603.01 48 7603.01
0.0582679 11125.9 120 11125.9
0.0589415 11956.3 24 11956.3
0.0592755 10531.1 144 10531.1
0.0596075 10793.2 120 10793.2
0.0599378 12911.5 48 12911.5
0.0605928 13672.5 48 13672.5
0.0609177 8481.59 96 8481.59
0.0615624 9046.11 24 9046.11
0.0618822 13079.2 48 13079.2
0.0622004 10444.2 108 10444.2
0.0625169 10294.5 72 10294.5
0.0628319 10717.9 30 10717.9
0.0631452 12005 168 12005
0.0634571 9028.76 48 9028.76
0.0640762 10320.4 72 10320.4
0.0643835 11536.5 96 11536.5
0.0646894 11485.5 72 11485.5
0.0649938 6738.61 72 6738.61
0.0652968 13247.7 32 13247.7
0.0655984 9547.19 72 9547.19
0.0658986 7788.44 144 7788.44
0.0667912 8597.25 96 8597.25
0.0670861 9671.04 96 9671.04
0.0673797 9144.4 48 9144.4
0.067672 6195.8 72 6195.8
0.067963 9232.39 120 9232.39
0.0682529 8903.62 72 8903.62
0.0688288 7652.05 48 7652.05
0.069115 7970.7 78 7970.7
0.0694001 9823.94 120 9823.94
0.0696839 7347.72 48 7347.72
0.0702481 9549.26 144 9549.26
0.0705286 7896.9 144 7896.9
0.0710861 14904.1 12 14904.1
0.0713633 8647.97 144 8647.97
0.0716393 11172.3 48 11172.3
0.0719926 8184.93 168 8184.93
0.0724612 10195.7 48 10195.7
0.0727331 10881.6 168 10881.6
0.0734532 8688.33 144 8688.33
0.0738107 6787.2 96 6787.2
0.0740777 7024.5 72 7024.5
0.0743437 7039.18 48 7039.18
0.0746967 8483.83 144 8483.83
0.0753982 12424.1 30 12424.1
0.0758332 8542.31 288 8542.31
0.0761796 10388.1 56 10388.1
0.0766638 11119.4 192 11119.4
0.076953 10335.7 120 10335.7
0.0776339 7482.19 216 7482.19
0.0779723 13061.1 96 13061.1
0.078225 8042.17 96 8042.17
0.0787281 7517.01 72 7517.01
0.0789784 7846.05 96 7846.05
0.0794767 5144.35 24 5144.35
0.0798137 7968.75 300 7968.75
0.0802183 5099.45 24 5099.45
0.0805865 8487.11 192 8487.11
0.0809532 9855.22 120 9855.22
0.0814394 10223 48 10223
0.0818379 7141.03 222 7141.03
0.0821633 7323.33 120 7323.33
